diemTD,diemCT,diemMT,diemGQVD,diemKT1,diemKT2,diemCK,target
6.1,3.7,4.2,2.8,2.5,6.8,6.5,Pass
5.5,2.1,3.2,4.5,7.7,7.4,2.7,Fail
5,4.1,9,4.2,6.5,5.3,9.8,Pass
2.3,5,7.9,8.2,2.3,3.5,7.8,Pass
5.8,7.5,3.8,7.2,6.6,8,5.2,Pass
9.3,4.8,9.8,2.4,6,3,7.1,Pass
8.2,6.9,2.6,9.8,2.5,3,2.5,Fail
4.8,2.8,9.3,3.6,8.9,8.2,4.6,Pass
5.2,2.5,3.2,7.8,3.2,9.9,3.6,Fail
7.4,3.2,2.9,3.5,8.8,5.6,2.5,Fail
7.7,4.8,5.6,6.9,8.2,9.8,5.2,Pass
6.8,2.7,5.1,7.8,8.2,6.4,6.1,Pass
3,2.8,7.7,6.3,7.5,7.1,8.3,Pass
6.6,6.3,2.9,7.3,3.7,4.5,6.2,Pass
6.7,8,7.5,7.6,4,3.6,6.8,Pass
8.2,8.1,5.7,8.3,4.8,9.2,5.9,Pass
2.8,4.8,2.8,6.2,5.5,8.6,8.8,Pass
7.2,8.6,9.3,7.6,4.4,4.3,7.9,Pass
2.3,2.6,9.1,5.5,4.9,5.7,5.6,Pass
7.5,9.1,6.1,2.8,5.5,9.2,9.6,Pass
9.7,8.3,3.3,2.8,4.4,7,4.3,Pass
5.6,7.9,4.4,3.5,3.7,6.9,3.1,Fail
8.9,5.9,2,9.6,5.5,9.8,2.8,Pass
5.4,8.3,8.6,6.4,6.7,4.3,9.2,Pass
9.9,9.8,7.2,8.2,7.1,8.6,9.1,Pass
9.1,6.3,6,6.2,8,6.1,3.8,Pass
3.4,3.3,4.9,4.2,8.3,9.6,4.3,Pass
5.6,8.7,7.2,9.8,4.6,5.1,7.7,Pass
5.7,6.7,9.7,3.4,5.5,4.6,2.8,Fail
8.8,3.8,5.3,8.9,6.4,2.8,9.9,Pass
4.3,9,5.8,9.1,7.2,8.9,5.4,Pass
9.4,2.7,3.3,6.7,2.5,9.4,3.3,Fail
8.5,8.3,2.6,7.9,5,9.6,9.7,Pass
3.2,6.3,6.2,8.3,6.6,3.8,3.3,Fail
5.6,3.4,3.2,4.2,2.5,3.2,3.8,Fail
6.7,9.3,3.1,5.2,7.7,3.6,5.2,Pass
7.8,4.1,3.4,5.7,2.7,7.3,9.3,Pass
7.7,9.7,4.5,5,5.5,5,6.2,Pass
9.4,4.4,8.6,6.3,7.4,2,2.1,Fail
9.9,6.2,3.9,3.3,4.5,9.7,5.2,Pass
2.9,3.5,6,9.6,9.3,8.5,7,Pass
8.5,3.1,9.7,3.6,9,7.2,5.4,Pass
9.2,7.5,8.6,3.6,8,7.8,6.4,Pass
6.2,3.5,6.9,8,7.1,5.9,7.3,Pass
4.2,9.7,3.7,4,3.4,2.2,6.6,Fail
6.2,4.3,6.3,6.3,4.9,2.4,3.3,Fail
9.4,5.6,9.9,8.6,6.6,3.6,9.6,Pass
9.2,3.1,4.7,6.4,7.1,3,9.4,Pass
9.5,9.5,4.8,6.4,6,5.4,5.8,Pass
5.7,6.1,9.5,6.2,9.9,9.7,5.9,Pass
2.1,7.4,9,8.1,6.4,6.8,7.1,Pass
9.7,4.2,4,6.6,6.4,9.9,5.8,Pass
6.3,4.5,7.7,4.9,8.4,3.5,6.3,Pass
7.8,6.4,4.9,7.3,6.1,7,2.1,Pass
